date,closeTime,epochTime,NQ_sym,NQ,NQ_volume
2021-11-29,2021-11-29 10:59:59,1638143999.0,NQZ1,16169.0,19.0
2021-11-29,2021-11-29 11:00:00,1638144000.0,NQZ1,16172.0,53.0
2021-11-29,2021-11-29 11:00:01,1638144001.0,NQZ1,16171.75,7.0
2021-11-29,2021-11-29 11:00:02,1638144002.0,NQZ1,16173.0,10.0
2021-11-29,2021-11-29 11:00:03,1638144003.0,NQZ1,16174.0,4.0
2021-11-29,2021-11-29 11:00:04,1638144004.0,NQZ1,16173.5,9.0
2021-11-29,2021-11-29 11:00:05,1638144005.0,NQZ1,16174.75,27.0
2021-11-29,2021-11-29 11:00:06,1638144006.0,NQZ1,16174.75,2.0
2021-11-29,2021-11-29 11:00:07,1638144007.0,NQZ1,16176.75,23.0
2021-11-29,2021-11-29 11:00:08,1638144008.0,NQZ1,16177.5,8.0
2021-11-29,2021-11-29 11:00:09,1638144009.0,NQZ1,16179.75,81.0
2021-11-29,2021-11-29 11:00:10,1638144010.0,NQZ1,16178.5,12.0
2021-11-29,2021-11-29 11:00:11,1638144011.0,NQZ1,16177.5,4.0
2021-11-29,2021-11-29 11:00:12,1638144012.0,NQZ1,16177.0,4.0
2021-11-29,2021-11-29 11:00:13,1638144013.0,NQZ1,16174.25,16.0
2021-11-29,2021-11-29 11:00:14,1638144014.0,NQZ1,16175.0,9.0
2021-11-29,2021-11-29 11:00:15,1638144015.0,NQZ1,16176.25,2.0
2021-11-29,2021-11-29 11:00:16,1638144016.0,NQZ1,16176.5,1.0
2021-11-29,2021-11-29 11:00:17,1638144017.0,NQZ1,16176.0,2.0
2021-11-29,2021-11-29 11:00:18,1638144018.0,NQZ1,16174.75,2.0
2021-11-29,2021-11-29 11:00:19,1638144019.0,NQZ1,16175.75,4.0
2021-11-29,2021-11-29 11:00:20,1638144020.0,NQZ1,16175.75,0.0
2021-11-29,2021-11-29 11:00:21,1638144021.0,NQZ1,16175.0,2.0
2021-11-29,2021-11-29 11:00:22,1638144022.0,NQZ1,16175.25,11.0
2021-11-29,2021-11-29 11:00:23,1638144023.0,NQZ1,16174.25,2.0
2021-11-29,2021-11-29 11:00:24,1638144024.0,NQZ1,16175.75,1.0
2021-11-29,2021-11-29 11:00:25,1638144025.0,NQZ1,16175.5,12.0
2021-11-29,2021-11-29 11:00:26,1638144026.0,NQZ1,16175.5,0.0
2021-11-29,2021-11-29 11:00:27,1638144027.0,NQZ1,16174.0,3.0
2021-11-29,2021-11-29 11:00:28,1638144028.0,NQZ1,16176.25,4.0
2021-11-29,2021-11-29 11:00:29,1638144029.0,NQZ1,16175.5,4.0
2021-11-29,2021-11-29 11:00:30,1638144030.0,NQZ1,16175.5,0.0
2021-11-29,2021-11-29 11:00:31,1638144031.0,NQZ1,16176.75,27.0
2021-11-29,2021-11-29 11:00:32,1638144032.0,NQZ1,16177.25,4.0
2021-11-29,2021-11-29 11:00:33,1638144033.0,NQZ1,16176.5,3.0
2021-11-29,2021-11-29 11:00:34,1638144034.0,NQZ1,16176.25,2.0
2021-11-29,2021-11-29 11:00:35,1638144035.0,NQZ1,16176.5,2.0
2021-11-29,2021-11-29 11:00:36,1638144036.0,NQZ1,16176.5,0.0
